azimuth_deg,altitude_deg,altitude_smooth_deg,edge_strength,x_pix,y_pix
0.00,-0.4500,-0.4772,72.27,691.925,1380.347
0.50,-0.5000,-0.4728,70.22,686.016,1380.519
1.00,-0.5000,-0.4683,70.24,680.106,1380.363
1.50,-0.4500,-0.4633,68.69,674.204,1379.880
2.00,-0.4500,-0.4577,68.27,668.300,1379.621
2.50,-0.4500,-0.4515,67.76,662.398,1379.309
3.00,-0.4500,-0.4446,65.74,656.499,1378.946
3.50,-0.4500,-0.4369,63.42,650.603,1378.531
4.00,-0.4500,-0.4281,59.71,644.710,1378.064
4.50,-0.4000,-0.4169,56.08,638.843,1377.271
5.00,-0.4000,-0.3994,56.08,632.962,1376.701
5.50,-0.4000,-0.3666,52.70,627.086,1376.079
6.00,-0.4000,-0.3007,50.57,621.215,1375.405
6.50,-0.4000,-0.1742,49.87,615.350,1374.680
7.00,-0.4000,0.0471,48.32,609.492,1373.904
7.50,-0.4000,0.3910,47.03,603.640,1373.076
8.00,-0.4000,0.8588,45.89,597.796,1372.196
8.50,-0.4000,1.4055,45.45,591.960,1371.265
9.00,-0.3500,1.9357,43.29,586.175,1370.011
9.50,7.1000,2.3264,43.12,587.430,1327.102
10.00,6.9500,2.4728,61.37,581.843,1326.956
10.50,7.0000,2.3336,51.98,576.467,1325.601
11.00,-0.3500,1.9507,41.53,562.963,1365.573
11.50,-0.3500,1.4294,39.94,557.185,1364.336
12.00,-0.3500,0.8922,40.59,551.418,1363.048
12.50,-0.3500,0.4342,39.95,545.663,1361.710
13.00,-0.3500,0.1000,39.64,539.919,1360.321
13.50,-0.3500,-0.1115,39.29,534.187,1358.882
14.00,-0.3000,-0.2276,38.00,528.536,1357.125
14.50,-0.3500,-0.2811,36.95,522.763,1355.852
15.00,-0.3000,-0.2984,37.26,517.143,1353.996
15.50,-0.3500,-0.2944,35.90,511.393,1352.621
16.00,-0.3000,-0.2738,35.67,505.807,1350.667
16.50,-0.3000,-0.2318,35.89,500.161,1348.928
17.00,-0.3000,-0.1530,33.71,494.530,1347.139
17.50,-0.2500,-0.0107,33.72,488.999,1345.038
18.00,-0.1000,0.2326,35.18,483.663,1342.367
18.50,-0.2000,0.6185,30.04,477.913,1340.955
19.00,-0.1500,1.1781,30.12,472.444,1338.711
19.50,-0.1000,1.9144,34.37,466.997,1336.419
20.00,-0.0500,2.7901,32.43,461.574,1334.081
20.50,6.2500,3.7311,45.07,468.880,1298.532
21.00,6.4500,4.6467,44.60,464.131,1295.385
21.50,6.7000,5.4574,46.53,459.531,1291.926
22.00,6.9000,6.1165,47.29,454.862,1288.701
22.50,7.0500,6.6170,47.45,450.116,1285.708
23.00,7.2500,6.9815,49.05,445.524,1282.406
23.50,7.4000,7.2461,49.47,440.850,1279.335
24.00,7.5000,7.4462,50.53,436.088,1276.495
24.50,7.6500,7.6086,50.81,431.483,1273.347
25.00,7.7500,7.7500,51.47,426.784,1270.428
25.50,7.9000,7.8795,51.89,422.248,1267.203
26.00,8.0500,8.0009,51.45,417.748,1263.942
26.50,8.1500,8.1156,51.29,413.148,1260.908
27.00,8.2500,8.2239,52.20,408.581,1257.836
27.50,8.3500,8.3260,52.18,404.045,1254.727
28.00,8.4500,8.4224,53.60,399.542,1251.579
28.50,8.5500,8.5137,51.88,395.072,1248.395
29.00,8.6000,8.6009,53.37,390.487,1245.432
29.50,8.7000,8.6848,52.42,386.081,1242.173
30.00,8.7500,8.7664,51.40,381.556,1239.135
30.50,8.8500,8.8462,50.52,377.215,1235.802
31.00,8.9500,8.9245,51.57,372.909,1232.434
31.50,9.0000,9.0014,50.02,368.478,1229.284
32.00,9.1000,9.0770,50.68,364.239,1225.845
32.50,9.1500,9.1515,51.31,359.870,1222.622
33.00,9.2000,9.2250,51.17,355.532,1219.362
33.50,9.3000,9.2975,51.58,351.395,1215.817
34.00,9.4000,9.3686,51.11,347.295,1212.239
34.50,9.4500,9.4379,50.38,343.056,1208.874
35.00,9.5000,9.5047,50.90,338.849,1205.472
35.50,9.6000,9.5686,49.82,334.854,1201.793
36.00,9.6500,9.6295,49.20,330.714,1198.323
36.50,9.7000,9.6874,49.78,326.607,1194.818
37.00,9.7500,9.7426,49.79,322.534,1191.279
37.50,9.8000,9.7956,49.99,318.494,1187.706
38.00,9.8500,9.8466,48.99,314.488,1184.099
38.50,9.9000,9.8959,48.72,310.516,1180.459
39.00,9.9500,9.9436,48.79,306.578,1176.786
39.50,10.0000,9.9897,48.27,302.675,1173.080
40.00,10.0500,10.0343,49.40,298.807,1169.342
40.50,10.1000,10.0775,48.41,294.974,1165.571
41.00,10.1000,10.1199,48.36,290.973,1161.993
41.50,10.1500,10.1618,47.60,287.209,1158.158
42.00,10.2000,10.2033,48.78,283.481,1154.292
42.50,10.2500,10.2442,47.51,279.789,1150.395
43.00,10.3000,10.2843,47.24,276.134,1146.467
43.50,10.3500,10.3231,46.65,272.516,1142.510
44.00,10.3500,10.3604,47.66,268.718,1138.736
44.50,10.4000,10.3961,47.08,265.172,1134.717
45.00,10.4500,10.4305,46.70,261.664,1130.670
45.50,10.4500,10.4635,46.34,257.971,1126.801
46.00,10.5000,10.4953,45.94,254.536,1122.695
46.50,10.5500,10.5258,45.81,251.139,1118.560
47.00,10.5500,10.5550,46.43,247.554,1114.600
47.50,10.6000,10.5829,46.57,244.232,1110.409
48.00,10.6000,10.6096,45.80,240.719,1106.389
48.50,10.6500,10.6352,45.26,237.473,1102.142
49.00,10.6500,10.6597,45.14,234.033,1098.063
49.50,10.7000,10.6833,46.13,230.864,1093.762
50.00,10.7000,10.7059,44.26,227.498,1089.625
50.50,10.7500,10.7274,44.82,224.408,1085.272
51.00,10.7500,10.7480,44.86,221.116,1081.079
51.50,10.7500,10.7676,44.28,217.861,1076.857
52.00,10.8000,10.7859,44.41,214.889,1072.426
52.50,10.8000,10.8026,43.90,211.710,1068.151
53.00,10.8500,10.8174,43.48,208.818,1063.671
53.50,10.8500,10.8298,44.14,205.717,1059.342
54.00,10.8500,10.8399,43.12,202.654,1054.987
54.50,10.8500,10.8479,43.25,199.629,1050.605
55.00,10.8500,10.8540,43.09,196.643,1046.196
55.50,10.8500,10.8584,43.48,193.696,1041.762
56.00,10.9000,10.8611,42.64,191.046,1037.139
56.50,10.8500,10.8622,42.59,187.919,1032.817
