HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
48915,-1.46,-0.05,0.00,0.00,-0.03,-0.02,-0.01,-0.49,-1.55,-1.33,-1.09,-0.91,Sirius,Alpha Canis Majoris,151881,257,-1.46,A1Vm,-0.553,-1.205,101.2871553,-16.7161158
124897,-0.05,1.28,1.23,0.97,0.65,0.69,0.59,3.40,0.53,-0.50,-0.86,-1.06,Arcturus,Alpha Bodtis,100944,526,-0.04,K1.5IIIFe-0.5,-1.093,-1.998,213.9153003,19.1824092
172167,0.03,0.00,0.00,-0.04,-0.03,-0.04,-0.01,1.06,-0.06,0.17,0.39,0.57,Vega,Alpha Lyrae,67174,699,0.03,A0Va,0.202,0.286,279.2347347,38.7836889
34029,0.08,0.45,0.80,0.60,0.44,0.40,0.41,2.16,0.43,-0.15,-0.33,-0.42,Capella,Alpha Aurigae,40186,193,0.08,G5IIIe+G0III,0.076,-0.425,79.1723281,45.9979914
34085,,,,,,,,,,,,,Algebar,Beta Orionis,131907,194,0.12,B8Ia:,0.0,-0.001,78.6345000,-8.2016667
34085,,,,,,,,,,,,,Rigel,Beta Orionis,131907,194,0.12,B8Ia:,0.0,-0.001,78.6345000,-8.2016667
61421,0.37,0.03,0.42,0.42,0.23,0.27,0.24,1.68,0.51,0.28,0.27,0.28,Procyon,Alpha Canis Minoris,115756,291,0.38,F5IV-V,-0.71,-1.023,114.8254978,5.2249875
39801,,,,,,,,,,,,,Betelgeuse,Alpha Orionis,113271,224,0.5,M1-2Ia-Iab,0.026,0.009,88.7930000,7.4069500
187642,,,,,,,,,,,,,Altair,Alpha Aquilae,125122,745,0.77,A7V,0.538,0.386,297.6957500,8.8683333
29139,,,,,,,,,,,,,Aldebaran,Alpha Tauri,94027,168,0.85,K5+III,0.063,-0.19,68.9800000,16.5091667
116658,,,,,,,,,,,,,Spica,Alpha Virginis,157923,498,0.98,B1III-IV+B2V,-0.041,-0.028,201.2982500,-11.1613833
62509,1.14,0.86,1.00,0.75,0.50,0.52,0.46,3.89,1.60,0.82,0.59,0.47,Pollux,Beta Geminorum,79666,295,1.14,K0IIIb,-0.628,-0.046,116.3289578,28.0261989
197345,,,,,,,,,,,,,Deneb,Alpha Cygni,49941,777,1.25,A2Ia,0.003,0.002,310.3580000,45.2802833
87901,1.35,-0.36,-0.11,-0.02,-0.10,-0.04,-0.06,1.84,1.19,1.51,1.79,2.00,Regulus,Alpha Leonis,98967,380,1.35,B7V,-0.248,0.006,152.0929625,11.9672089
35468,1.64,-0.88,-0.22,-0.09,-0.22,-0.09,-0.14,1.36,1.42,1.85,2.20,2.46,Bellatrix,Gamma Orionis,112740,201,1.64,B2III,-0.009,-0.014,81.2827636,6.3497033
35497,1.65,-0.49,-0.13,-0.01,-0.10,-0.03,-0.05,1.95,1.48,1.81,2.09,2.29,Alnath,Beta Tauri,77168,202,1.65,B7III,0.022,-0.175,81.5729714,28.6074517
35497,1.65,-0.49,-0.13,-0.01,-0.10,-0.03,-0.05,1.95,1.48,1.81,2.09,2.29,Nath,Beta Tauri,77168,202,1.65,B7III,0.022,-0.175,81.5729714,28.6074517
35497,1.65,-0.49,-0.13,-0.01,-0.10,-0.03,-0.05,1.95,1.48,1.81,2.09,2.29,El Nath,Beta Tauri,77168,202,1.65,B7III,0.022,-0.175,81.5729714,28.6074517
37128,,,,,,,,,,,,,Alnilam,Epsilon Orionis,132346,210,1.7,B0Ia,0.001,-0.002,84.0532500,-1.2019500
112185,,,,,,,,,,,,,Alioth,Epsilon Ursae Majoris,28553,483,1.77,A0pCr,0.112,-0.006,193.5070000,55.9597167
95689,1.79,0.92,1.07,0.81,0.58,0.56,0.52,4.66,2.28,1.43,1.14,0.99,Dubhe,Alpha Ursae Majoris,15384,417,1.79,K0IIIa,-0.119,-0.067,165.9319647,61.7510347
20902,1.79,0.38,0.48,nan,nan,nan,nan,3.60,1.96,1.68,nan,nan,Mirfak,Alpha Persei,38787,120,1.79,F5Ib,0.024,-0.025,51.0807086,49.8611792
120315,1.86,-0.68,-0.19,-0.12,-0.18,-0.09,-0.12,1.87,1.66,2.07,2.40,2.65,Benetnasch,Eta Ursae Majoris,44752,509,1.86,B3V,-0.122,-0.011,206.8851572,49.3132667
120315,1.86,-0.68,-0.19,-0.12,-0.18,-0.09,-0.12,1.87,1.66,2.07,2.40,2.65,Alkaid,Eta Ursae Majoris,44752,509,1.86,B3V,-0.122,-0.011,206.8851572,49.3132667
40183,,,,,,,,,,,,,Menkalinan,Beta Aurigae,40750,227,1.9,A2IV,-0.057,0.0,89.8820000,44.9475000
47105,1.92,0.05,0.00,0.06,-0.01,0.01,0.00,3.02,1.83,2.04,2.25,2.42,Almeisan,Gamma Geminorum,95912,251,1.93,A0IV,0.042,-0.042,99.4279606,16.3992806
47105,1.92,0.05,0.00,0.06,-0.01,0.01,0.00,3.02,1.83,2.04,2.25,2.42,Alhena,Gamma Geminorum,95912,251,1.93,A0IV,0.042,-0.042,99.4279606,16.3992806
44743,,,,,,,,,,,,,Murzim,Beta Canis Majoris,151428,243,1.98,B1II-III,-0.006,0.0,95.6750000,-17.9558333
81797,1.97,1.72,1.45,1.04,0.77,0.72,0.70,6.13,2.67,1.46,0.98,0.71,Alphard,Alpha Hydrae,136871,354,1.98,K3II-III,-0.014,0.033,141.8968447,-8.6585994
60179,,,,,,,,,,,,,Castor,Alpha Geminorum,0,,1.98,A1V,-0.171,-0.098,113.6500000,31.8883333
44743,,,,,,,,,,,,,Mirzam,Beta Canis Majoris,151428,243,1.98,B1II-III,-0.006,0.0,95.6750000,-17.9558333
12929,2.00,1.13,1.15,0.84,0.62,0.58,0.56,5.20,2.54,1.62,1.28,1.10,Hamal,Alpha Arietis,75151,74,2.0,K2-IIICa-1,0.19,-0.148,31.7933572,23.4624175
8890,,,,,,,,,,,,,Polaris,Alpha Ursae Minoris,308,907,2.02,F7:Ib-II,0.038,-0.015,37.9530000,89.2641667
4128,2.02,0.88,1.01,0.72,0.51,0.50,0.46,4.80,2.48,1.70,1.47,1.34,Diphda,Beta Ceti,147420,22,2.04,G9.5IIICH-1,0.234,0.033,10.8973786,-17.9866064
4128,2.02,0.88,1.01,0.72,0.51,0.50,0.46,4.80,2.48,1.70,1.47,1.34,Deneb Kaitos,Beta Ceti,147420,22,2.04,G9.5IIICH-1,0.234,0.033,10.8973786,-17.9866064
37742,1.77,-1.06,-0.21,-0.08,-0.20,-0.08,-0.10,1.25,1.56,1.97,2.30,2.53,Alnitak,Zeta Orionis,132444,,2.05,O9.7Ib,0.003,-0.002,85.1896958,-1.9425722
38771,2.05,-1.02,-0.18,-0.02,-0.18,-0.04,-0.09,1.60,1.86,2.23,2.54,2.77,Saiph,Kappa Orionis,132542,220,2.06,B0.5Ia,0.002,-0.002,86.9391203,-9.6696050
6860,2.05,1.96,1.57,1.24,1.00,0.84,0.92,6.60,2.82,1.46,0.77,0.35,Mirach,Beta Andromedae,54471,42,2.06,M0+IIIa,0.178,-0.114,17.4330161,35.6205578
358,,,,,,,,,,,,,Alpheratz,Alpha Andromedae,73765,1,2.06,B8IVpMnHg,0.136,-0.163,2.0970000,29.0905500
358,,,,,,,,,,,,,Sirrah,Alpha Andromedae,73765,1,2.06,B8IVpMnHg,0.136,-0.163,2.0970000,29.0905500
131873,2.08,1.77,1.47,1.11,0.76,0.79,0.70,6.32,2.79,1.54,1.06,0.79,Kochab,Beta Ursae Minoris,8102,550,2.08,K4-III,-0.031,0.012,222.6763575,74.1555039
159561,2.07,0.10,0.15,0.14,0.08,0.08,0.10,3.32,2.06,2.12,2.25,2.36,Rasalhague,Alpha Ophiuchi,102932,656,2.08,A5III,0.12,-0.226,263.7336228,12.5600375
19356,,,,,,,,,,,,,Algol,Beta Persei,38592,111,2.12,B8V,0.004,-0.001,47.0420000,40.9555500
102647,,,,,,,,,,,,,Denebola,Beta Leonis,99809,444,2.14,A3V,-0.497,-0.114,177.2650000,14.5719500
194093,2.23,0.54,0.67,0.49,0.34,0.33,0.31,4.37,2.50,2.06,1.97,1.95,Sadr,Gamma Cygni,49528,765,2.2,F8Ib,0.004,0.0,305.5570911,40.2566792
164058,2.22,1.88,1.52,1.14,0.85,0.80,0.79,6.64,2.96,1.66,1.10,0.77,Eltanin,Gamma Draconis,30653,676,2.23,K5III,-0.008,-0.019,269.1515411,51.4888956
36486,,,,,,,,,,,,,Mintaka,Delta Orionis,132220,206,2.23,O9.5II,0.001,-0.002,83.0017500,0.2991667
3712,,,,,,,,,,,,,Schedar,Alpha Cassiopeiae,21609,21,2.23,K0IIIa,0.053,-0.032,10.1270000,56.5372167
139006,,,,,,,,,,,,,Alphecca,Alpha Coronae Borealis,83893,578,2.23,A0V+G5V,0.121,-0.089,233.6720000,26.7147167
139006,,,,,,,,,,,,,Gemma,Alpha Coronae Borealis,83893,578,2.23,A0V+G5V,0.121,-0.089,233.6720000,26.7147167
12533,2.10,0.92,1.21,0.94,0.68,0.65,0.62,5.05,2.67,1.67,1.28,1.06,Almach,Gamma Andromedae,37734,73,2.26,K3-IIb,0.045,-0.052,30.9748044,42.3297247
432,,,,,,,,,,,,,Caph,Beta Cassiopeiae,21133,2,2.27,F2III-IV,0.525,-0.181,2.2945000,59.1497167
116656,2.06,0.03,0.02,-0.04,-0.02,-0.04,-0.01,3.15,1.98,2.19,2.42,2.59,Alula Australis,Zeta Ursae Majoris,28737,497,2.27,A1VpSrSi,0.122,-0.02,200.9814292,54.9253611
